Duration,NumClients,TotalRequests,SuccessfulRequests,Failed,MinResTime,MaxResTime,AvgResTime,P50,P95,P99,StdDev
256,5,500,500,0,1,4,2,2,3,4,0.64
365,10,1000,1000,0,1,10,3,3,5,6,0.99
453,15,1492,1492,0,1,16,4,4,8,10,1.86
474,20,1746,1746,0,1,19,4,4,10,13,2.72
443,25,1767,1767,0,1,19,5,5,11,14,2.85
440,30,1777,1777,0,1,24,6,6,13,16,3.44
407,35,1699,1699,0,1,29,7,7,15,20,3.87
410,40,1746,1746,0,1,48,8,7,18,27,5.44
379,45,1794,1794,0,2,27,8,8,17,20,4.18
369,50,1702,1702,0,1,30,10,9,19,23,4.74
374,55,1707,1707,0,2,33,11,10,22,26,5.48
433,60,1770,1770,0,1,49,13,12,29,37,7.16
407,65,1738,1738,0,2,46,14,13,27,36,6.76
419,70,1729,1729,0,2,65,16,14,32,43,8.48
414,75,1666,1666,0,2,63,17,16,34,46,8.69
768,5,1737,1737,0,1,8,1,2,3,4,1.00
530,10,1741,1741,0,1,9,2,2,4,6,1.24
488,15,1784,1784,0,1,12,3,3,7,9,1.84
465,20,1752,1752,0,1,19,4,4,10,13,2.62
413,25,1764,1764,0,1,16,5,5,10,13,2.55
428,30,1812,1812,0,1,25,6,6,13,17,3.58
436,35,1782,1782,0,2,35,7,7,16,24,4.47
378,40,1707,1707,0,1,26,8,7,16,20,3.96
394,45,1782,1782,0,1,38,9,8,20,24,5.07
423,50,1795,1795,0,2,42,11,10,22,28,5.57
412,55,1631,1631,0,1,44,13,11,26,33,6.76
377,60,1764,1764,0,2,37,12,11,23,32,5.92
364,5,704,704,0,1,6,2,2,4,5,1.06
377,10,818,818,0,1,13,4,4,8,10,2.07
343,15,834,834,0,1,14,5,6,10,12,2.77
475,5,796,796,0,1,9,2,2,4,6,1.22
360,10,900,900,0,1,10,3,3,6,8,1.60
329,15,891,891,0,1,22,4,4,9,12,2.70
311,20,889,889,0,1,22,6,6,13,17,3.50
284,25,877,877,0,1,29,7,6,16,22,4.34
293,30,902,902,0,2,42,9,8,18,27,5.22
310,35,840,840,0,2,53,12,10,26,37,7.66
315,1,100,100,0,2,5,2,3,3,4,0.85
339,3,300,300,0,2,10,2,2,5,6,1.41
316,5,500,500,0,2,10,2,2,4,5,0.98
352,7,699,699,0,2,9,3,3,4,6,0.84
432,9,881,881,0,2,16,3,4,6,10,1.76
406,11,874,874,0,2,12,4,4,7,10,1.62
436,13,912,912,0,2,17,5,5,9,12,2.10
405,15,894,894,0,2,18,6,6,11,14,2.42
407,17,914,914,0,2,21,6,6,12,15,2.95
406,19,896,896,0,2,32,8,7,15,18,3.57
456,1,100,100,0,3,6,4,4,5,5,0.33
458,3,300,300,0,3,10,4,4,7,8,1.16
480,5,498,498,0,3,12,4,4,6,8,1.09
470,7,608,608,0,3,12,4,5,7,9,1.46
427,9,616,616,0,2,15,5,5,9,11,1.78
420,11,627,627,0,2,18,6,6,11,14,2.44
377,13,605,605,0,4,23,7,7,12,16,2.85
445,15,624,624,0,3,24,10,10,16,19,3.22
362,17,604,604,0,2,25,9,9,17,21,4.04
382,19,622,622,0,1,28,11,10,20,26,4.93
375,21,636,636,0,2,42,11,11,23,33,6.30
368,23,634,634,0,2,41,12,12,25,32,6.64
372,25,637,637,0,1,52,13,13,28,34,7.16
347,27,597,597,0,1,49,14,14,30,37,7.96
346,29,583,583,0,2,45,16,15,31,38,7.81
343,31,567,567,0,3,57,17,17,31,40,7.76
337,33,588,588,0,2,64,17,17,35,50,9.77
344,35,560,560,0,2,63,20,19,36,43,8.78
328,37,567,567,0,2,56,20,19,40,49,10.09
316,39,486,486,0,5,72,24,23,43,54,10.69
333,40,555,555,0,2,64,22,21,44,54,10.91
330,42,585,585,0,2,88,22,21,42,52,11.93
305,44,522,522,0,2,66,24,22,45,54,11.36
299,46,534,534,0,2,84,24,23,46,62,12.40
320,48,493,493,0,2,75,29,28,51,65,12.95
300,50,465,465,0,3,107,30,27,60,84,16.08
288,52,525,525,0,3,77,26,27,49,60,13.21
293,54,532,532,0,2,73,28,27,52,63,14.10
282,56,457,457,0,2,91,32,30,65,76,15.63
311,58,476,476,0,2,109,36,35,65,82,16.81
249,60,395,395,0,3,95,35,35,60,77,14.70
268,62,447,447,0,3,85,34,34,60,75,15.58
305,64,547,547,0,4,98,33,31,64,80,17.51
227,66,370,370,0,8,81,37,36,65,73,14.89
223,68,359,359,0,3,155,39,36,77,100,19.95
243,70,388,388,0,4,111,40,37,83,101,20.57
276,72,468,468,0,2,121,38,37,75,102,20.66
247,74,390,390,0,5,116,42,39,84,102,21.46
266,76,421,421,0,4,133,43,42,76,94,19.93
284,78,457,457,0,3,105,43,44,85,97,22.95
269,80,467,467,0,3,165,41,38,97,116,26.35
271,82,558,558,0,2,113,36,31,78,94,21.53
237,84,381,381,0,2,108,46,46,83,100,21.10
306,86,611,611,0,3,122,39,34,81,101,21.98
278,88,605,605,0,3,126,36,33,81,101,21.55
294,90,626,626,0,5,119,37,32,86,108,23.02
302,92,627,627,0,4,125,38,34,83,106,23.13
266,94,550,550,0,2,154,39,34,86,113,25.16
287,96,630,630,0,2,112,38,32,81,98,22.28
277,98,603,603,0,4,175,40,34,80,123,24.49
289,100,620,620,0,3,150,41,32,94,127,28.20
474,1,100,100,0,4,6,4,4,5,5,0.46
538,3,300,300,0,3,18,4,4,8,11,2.08
506,5,499,499,0,3,12,4,4,7,10,1.45
462,7,636,636,0,1,10,4,4,7,8,1.31
387,9,639,639,0,1,10,4,5,7,9,1.66
353,11,640,640,0,1,16,5,5,9,10,1.79
336,13,641,641,0,1,16,6,6,10,12,2.12
309,15,639,639,0,2,17,6,6,11,13,2.31
311,17,640,640,0,1,21,7,7,13,15,2.92
313,19,641,641,0,1,28,8,8,16,19,3.71
298,21,614,614,0,2,26,9,9,17,21,4.01
288,23,598,598,0,1,34,10,10,19,24,4.36
295,25,619,619,0,1,39,11,10,24,32,6.03
285,27,571,571,0,2,40,12,12,23,28,5.57
287,29,601,601,0,2,39,13,12,25,33,6.17
283,31,598,598,0,1,46,13,12,28,38,7.11
281,33,558,558,0,1,78,15,13,34,49,9.45
280,35,581,581,0,2,55,16,14,31,42,8.41
278,37,566,566,0,2,70,17,15,34,47,9.09
275,39,578,578,0,2,64,17,15,34,48,8.93
292,41,592,592,0,3,78,19,17,40,57,11.22
265,43,556,556,0,1,80,19,16,44,56,11.58
271,45,580,580,0,2,88,19,15,52,66,14.35
271,47,591,591,0,2,82,20,18,44,60,11.95
280,49,612,612,0,2,71,21,19,43,57,12.01
253,51,580,580,0,2,62,21,19,44,57,11.62
258,53,562,562,0,2,83,22,20,50,64,13.84
257,55,572,572,0,2,79,23,20,50,64,13.76
246,57,537,537,0,2,97,24,22,48,65,12.93
280,59,602,602,0,3,80,26,24,51,62,13.59
248,61,570,570,0,2,71,25,24,49,60,12.92
240,63,558,558,0,2,82,24,23,48,63,13.83
245,65,527,527,0,4,114,28,25,54,73,14.77
246,67,586,586,0,4,94,26,22,58,75,15.60
251,69,556,556,0,3,101,28,25,60,83,16.19
281,71,615,615,0,4,112,29,27,64,81,17.72
250,73,592,592,0,5,116,28,24,65,94,19.66
264,75,612,612,0,4,154,30,24,74,101,22.15
285,77,613,613,0,3,107,32,28,73,90,21.00
240,79,579,579,0,3,106,30,27,72,89,19.95
235,81,580,580,0,3,101,29,26,64,90,17.90
257,83,616,616,0,4,114,31,26,70,87,19.43
241,85,514,514,0,7,131,35,32,68,91,20.09
249,87,616,616,0,4,119,31,26,70,90,19.91
238,89,572,572,0,3,112,33,30,74,95,20.87
259,91,620,620,0,4,132,34,29,80,103,22.69
244,93,595,595,0,2,147,34,31,75,113,22.34
