Duration,TotalRequests,SuccessfulRequests,Failed,MinResTime,MaxResTime,AvgResTime,P50,P95,P99,StdDev
6435,1000,1000,0,81,1589,634,599,1122,1469,254.29
12949,2000,2000,0,114,1906,641,600,1132,1356,255.86
19703,3000,3000,0,140,1935,654,620,1135,1368,252.88
32848,4000,4000,0,164,1993,818,798,1282,1496,289.12
41731,5000,5000,0,77,2090,831,805,1364,1569,297.61
53928,6000,6000,0,106,2243,894,885,1426,1708,322.64
63063,7000,7000,0,103,2652,897,877,1520,1849,355.46
72498,8000,8000,0,65,2153,902,892,1491,1770,341.84
83292,9000,9000,0,79,2513,923,905,1544,1916,354.38
87830,10000,10000,0,67,2626,876,828,1527,1848,354.55
102760,11000,11000,0,106,2556,931,902,1540,1851,353.33
112436,12000,12000,0,99,3064,934,910,1584,2030,378.53
122741,13000,13000,0,67,2338,940,931,1524,1760,350.14
132745,14000,14000,0,76,2711,944,935,1580,1932,370.86
143997,15000,15000,0,82,2773,956,945,1545,1831,352.83
148234,16000,16000,0,39,2580,923,902,1531,1790,349.42
158192,17000,17000,0,35,2483,928,926,1499,1732,343.79
168561,18000,18000,0,91,2518,933,931,1514,1770,351.33
172560,19000,19000,0,26,2655,905,901,1486,1809,346.24
182803,20000,20000,0,56,2316,911,917,1472,1698,339.74
