Duration,NumClients,TotalRequests,SuccessfulRequests,Failed,MinResTime,MaxResTime,AvgResTime,P50,P95,P99,StdDev
10012,5,500,500,0,2,16,6,5,12,14,3.52
10019,10,1000,1000,0,2,27,11,11,18,21,4.57
10020,15,1500,1500,0,2,29,15,16,23,26,5.63
10029,20,2000,2000,0,2,39,20,22,31,33,7.73
10034,25,2500,2500,0,2,47,24,26,37,40,9.53
10043,30,3000,3000,0,2,61,28,31,44,48,11.39
10046,35,3500,3500,0,2,59,32,35,48,53,12.71
10058,40,4000,4000,0,2,66,35,39,53,57,13.67
10059,45,4500,4500,0,2,73,39,43,60,64,15.73
10068,50,5000,5000,0,2,75,43,46,65,69,17.00
10069,55,5500,5500,0,2,79,45,49,70,74,18.42
10082,60,6000,6000,0,3,122,50,54,77,81,20.18
10088,65,6500,6500,0,2,96,54,58,84,89,22.13
10098,70,7000,7000,0,2,130,58,62,91,97,24.40
10087,75,7491,7491,0,2,160,61,65,98,112,26.68
10090,80,7970,7970,0,3,201,75,75,124,148,30.09
10097,85,7994,7994,0,10,198,102,100,141,162,22.77
10101,90,8101,8101,0,7,243,108,106,150,171,22.79
10099,95,8147,8147,0,14,233,114,112,153,176,21.65
10105,100,8150,8150,0,14,254,121,119,159,181,21.36
10122,105,8215,8215,0,37,255,126,124,163,182,20.94
10120,110,8208,8208,0,4,257,132,131,171,191,21.77
10134,115,8191,8191,0,44,229,139,137,178,198,21.29
10130,120,8205,8205,0,46,250,144,143,183,203,21.67
10142,125,8188,8188,0,27,317,151,149,190,213,22.41
10144,130,8237,8237,0,38,272,156,155,193,213,21.41
10155,135,8218,8218,0,3,273,163,161,202,222,22.23
10164,140,8203,8203,0,30,273,169,167,209,233,23.30
10154,145,8199,8199,0,39,290,175,174,214,234,22.34
10175,150,8122,8122,0,66,301,183,182,223,245,22.65
10176,155,8054,8054,0,43,309,191,190,232,254,24.40
10186,160,8182,8182,0,43,313,194,193,233,256,22.74
10196,165,8195,8195,0,85,327,200,199,239,263,23.06
10198,170,8195,8195,0,48,317,206,205,244,264,24.07
10209,175,8177,8177,0,40,339,213,212,252,273,24.64
10208,180,8199,8199,0,51,369,219,218,257,278,24.50
10217,185,8245,8245,0,46,333,223,223,261,282,24.67
10219,190,8225,8225,0,32,352,230,230,272,292,27.31
10226,195,8248,8248,0,38,372,236,235,274,296,25.49
10246,200,8184,8184,0,55,412,244,243,284,308,26.59
