timestamp,%util
0,0.00
2,0.30
4,1.20
6,0.50
8,1.30
10,1.20
12,1.15
14,1.50
16,1.85
18,2.00
20,1.80
22,2.20
24,1.30
26,2.20
28,3.30
30,2.85
32,3.15
34,2.70
36,4.00
38,3.50
40,3.00
42,3.30
44,3.50
46,4.35
48,6.00
50,5.00
52,3.85
54,5.15
56,6.35
58,5.80
60,5.00
62,4.35
64,5.35
66,7.15
68,7.15
70,5.20
72,6.15
74,6.15
76,5.85
78,7.35
80,6.00
82,7.00
84,8.15
86,6.35
88,8.00
90,8.00
92,6.50
94,7.30
96,6.70
98,9.00
100,8.30
102,8.00
104,6.50
106,7.20
108,9.15
110,7.65
112,9.85
114,8.65
116,6.35
118,8.00
120,7.85
122,7.30
124,9.20
126,13.15
128,9.35
130,8.65
132,9.50
134,10.85
136,11.50
138,13.80
140,12.70
142,13.50
144,11.30
146,12.70
148,13.50
150,12.65
152,11.15
154,10.85
156,13.65
158,12.00
160,14.20
162,11.80
164,12.20
166,13.50
168,14.65
170,12.00
172,11.00
174,12.50
176,13.15
178,13.20
180,12.30
182,14.35
184,10.15
186,12.70
188,13.50
190,13.30
192,13.00
194,13.00
196,14.50
198,11.20
200,12.65
202,11.50
204,11.85
206,13.15
208,10.15
210,12.35
212,12.35
214,12.30
216,11.35
218,15.00
220,11.15
222,14.70
224,14.30
226,14.70
228,14.30
230,13.20
232,12.15
234,15.85
236,12.00
238,13.80
240,14.20
242,11.15
244,15.15
246,10.50
248,9.85
250,13.50
252,13.35
254,10.65
256,10.50
258,15.00
260,12.50
262,13.65
264,12.20
266,13.00
268,12.30
270,10.50
